Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00036	1.25	1.303	1.585	1.867	1.92
C05223	-0.581	-0.489	0.0	0.489	0.581
C00037	-0.542	-0.456	0.0	0.456	0.542
C15809	4.332	4.362	4.524	4.686	4.716
C16698	-5.222	-5.2	-5.087	-4.974	-4.952
C03912	0.0	0.0	0.0	0.0	0.0
C02512	4.531	4.557	4.7	4.843	4.869
C00253	-5.381	-5.36	-5.248	-5.136	-5.115
C00250	4.52	4.548	4.7	4.852	4.88
C00251	2.818	2.898	3.322	3.746	3.826
C00256	4.345	4.373	4.524	4.675	4.703
C05338	4.344	4.372	4.524	4.676	4.704
C00255	-1.092	-0.998	-0.5	-0.002	0.092
C05336	-4.507	-4.478	-4.322	-4.166	-4.137
C00392	4.975	4.996	5.108	5.22	5.241
C00258	-0.455	-0.383	0.0	0.383	0.455
C05335	2.419	2.511	3.0	3.489	3.581
C16596	-4.765	-4.737	-4.585	-4.433	-4.405
C04390	4.135	4.164	4.322	4.48	4.509
C01081	-4.767	-4.738	-4.585	-4.432	-4.403
C01083	4.414	4.441	4.585	4.729	4.756
C00559	-1.514	-1.433	-1.0	-0.567	-0.486
C00491	4.211	4.24	4.392	4.544	4.573
C00492	4.446	4.473	4.6145	4.756	4.783
C00493	-0.361	-0.304	0.0	0.304	0.361
C00555	4.503	4.529	4.672	4.815	4.841
C01089	4.291	4.317	4.459	4.601	4.627
C00498	-0.459	-0.387	0.0	0.387	0.459
C00882	-0.568	-0.478	0.0	0.478	0.568
C00881	4.336	4.366	4.524	4.682	4.712
C00078	4.386	4.418	4.585	4.752	4.784
C00079	-0.232	-0.195	0.0	0.195	0.232
C00072	4.839	4.861	4.977	5.093	5.115
C00073	2.9	2.988	3.459	3.93	4.018
C00071	-5.412	-5.392	-5.285	-5.178	-5.158
C00077	-0.579	-0.487	0.0	0.487	0.579
C00074	-0.53	-0.446	0.0	0.446	0.53
C00075	5.479	5.496	5.585	5.674	5.691
C04454	-4.783	-4.752	-4.585	-4.418	-4.387
C00039	0.0	0.0	0.0	0.0	0.0
C03127	-4.892	-4.862	-4.7	-4.538	-4.508
C00085	-0.562	-0.473	0.0	0.473	0.562
C00084	-2.847	-2.764	-2.322	-1.88	-1.797
C00083	-4.749	-4.658	-4.17	-3.682	-3.591
C00082	-0.217	-0.183	0.0	0.183	0.217
C00080	4.405	4.433	4.585	4.737	4.765
C16630	4.362	4.392	4.5545	4.717	4.747
C04640	-0.579	-0.488	0.0	0.488	0.579
C03175	-0.463	-0.39	0.0	0.39	0.463
C00089	5.038	5.059	5.17	5.281	5.302
C04646	-0.571	-0.481	0.0	0.481	0.571
C00670	4.391	4.422	4.585	4.748	4.779
C00671	-4.571	-4.543	-4.392	-4.241	-4.213
